tract_name,0,1,2,3,4,5
,,,,,,
1.01,846,136,4,103,0,15
1.02,1910,284,5,292,1,61
1.03,1346,385,4,109,1,35
1.04,1287,229,4,183,0,50
10,916,97,4,106,0,26
11,1019,309,2,96,1,40
12,1441,214,4,78,2,22
13,1692,123,4,121,1,53
14,1367,753,13,98,3,69
15.04,786,420,1,226,1,43
15.05,1166,524,12,58,0,55
15.07,1301,999,8,170,3,65
15.08,1610,458,3,162,2,70
15.09,977,1574,4,92,0,60
15.1,1015,594,10,54,1,36
16.03,2875,223,17,81,1,61
16.05,2741,166,11,88,0,58
16.06,2973,947,27,90,4,922
16.07,1896,1302,18,123,1,264
16.08,2496,505,13,130,0,192
16.09,1151,3447,38,284,4,1223
17.01,1071,1211,75,201,3,1332
17.02,718,1739,74,190,2,1248
18.01,1491,2933,50,329,26,1196
18.02,270,1882,12,117,0,561
19.1,425,1896,27,218,3,468
19.11,1672,1039,60,203,8,662
19.14,575,522,15,74,0,308
19.16,1335,1096,59,432,4,813
19.17,489,1108,40,102,0,639
19.18,752,1651,26,260,0,948
19.19,641,1339,57,282,0,609
19.2,1530,1132,34,186,5,797
19.21,1775,1557,51,583,7,1636
19.22,747,372,12,22,0,61
19.23,2005,808,24,168,0,184
19.24,744,1923,78,635,0,1183
19.25,1651,1829,99,495,13,1066
19.26,1422,943,30,246,0,383
19.27,1222,1834,70,335,0,687
20.04,1460,855,61,205,0,800
20.05,875,1766,37,112,0,659
20.06,1016,1494,38,821,3,754
20.07,913,1527,50,449,1,1432
20.08,650,824,15,217,5,556
21,895,1953,93,282,1,953
22.01,702,1859,30,175,8,584
22.02,516,821,35,468,2,603
23,596,2068,34,212,2,795
24,1048,1696,24,66,7,381
25,644,1325,30,54,0,605
26,3107,1174,23,186,4,242
27.01,1864,301,1,169,2,92
27.02,3349,212,5,99,0,68
28,1550,662,12,53,0,104
29.03,2602,169,2,100,2,69
29.05,1672,654,12,88,0,127
29.07,2153,214,9,100,1,54
29.08,2676,209,5,107,3,42
29.09,327,2220,16,79,0,140
29.1,2497,267,2,83,4,53
3.01,1909,280,3,87,0,70
3.02,871,440,5,84,1,24
30.06,2060,92,6,43,0,7
30.08,5468,206,23,138,0,62
30.12,3650,20,7,51,2,6
30.13,3820,339,10,182,0,78
30.15,3297,101,9,152,0,30
30.16,2564,310,16,312,0,85
30.17,3186,246,9,130,0,33
30.18,1353,67,0,36,0,13
30.19,2868,172,11,129,1,30
30.2,3600,257,13,261,0,85
30.21,4064,645,21,201,3,355
30.22,3088,478,24,181,4,311
31.02,4722,368,10,279,0,78
31.05,3888,182,5,202,1,51
31.06,3329,457,13,780,1,172
