tract_name,total_requests,Non_RECYCLABLE_ITEMS,RECYCLABLE_ITEMS,HNS_HEALTH,CART_REPAIR,MISSED_RECYCLING
,80752,,,,,
1.01,656,137,17,27,0,7
1.02,1119,414,58,23,1,18
1.03,908,418,39,22,2,24
1.04,1045,229,31,46,5,43
10,6847,3229,530,337,123,217
11,6289,3227,517,378,95,175
12,10792,5754,999,608,175,215
13,12793,6391,1489,934,237,182
14,8333,3883,718,581,152,213
15.04,17333,7888,2070,2296,354,163
15.05,9453,4991,1381,471,222,188
15.07,7148,3742,823,615,135,68
15.08,14713,7537,2096,1013,323,339
15.09,10321,5234,1647,855,248,84
15.1,8763,4360,1268,831,213,48
16.03,7986,4161,1069,947,151,88
16.05,3090,1762,329,267,46,33
16.06,8787,4508,1028,1232,177,65
16.07,3320,1636,344,320,82,26
16.08,9742,4838,1304,987,165,119
16.09,5499,2894,713,438,119,65
17.01,6172,3924,484,235,57,102
17.02,10765,6167,1194,704,168,132
18.01,3619,1940,434,298,45,49
18.02,8763,4881,986,475,125,121
19.1,7608,4285,1015,302,160,68
19.11,15513,8054,2344,1065,346,282
19.14,8742,4787,1092,836,171,75
19.16,9703,4880,1314,597,264,224
19.17,3640,1712,487,269,75,108
19.18,5075,2730,504,407,89,72
19.19,8760,4746,1268,380,186,155
19.2,10190,5393,1630,757,242,98
19.21,6328,3451,1039,411,162,85
19.22,10893,5366,1628,772,328,153
19.23,6106,2874,850,387,201,60
19.24,4806,2545,662,256,101,33
19.25,5243,2992,686,270,148,49
19.26,5740,3491,763,201,94,57
19.27,1908,1246,171,87,5,2
20.04,8374,4309,790,231,182,264
20.05,2761,1374,289,68,54,83
20.06,9720,5769,1071,263,177,189
20.07,6699,4260,870,354,94,33
20.08,9136,5702,1176,272,226,109
21,6736,4003,725,230,103,159
22.01,4902,2532,436,199,108,173
22.02,5057,2212,470,120,140,364
23,7451,4177,1042,400,85,55
24,4909,2408,383,253,87,185
25,4008,1620,288,207,80,265
26,2559,1067,240,130,39,111
27.01,3690,1510,248,90,140,233
27.02,10142,4931,802,231,353,436
28,6942,3398,509,129,268,261
29.03,5697,2737,560,70,191,259
29.05,5580,2770,445,128,129,281
29.07,5210,2961,563,67,131,214
29.08,7875,4511,748,257,174,318
29.09,2295,1349,174,63,31,28
29.1,5706,3339,612,152,93,192
3.01,400,120,7,8,0,27
3.02,892,490,87,16,1,23
30.06,8543,5483,962,70,161,253
30.08,12285,7427,1537,360,269,287
30.12,6932,4591,840,75,178,175
30.13,12691,7351,1257,201,321,520
30.15,11659,7251,1443,281,244,173
30.16,6130,3812,711,64,144,122
30.17,9528,6005,1090,132,223,177
30.18,5914,3619,700,120,122,192
30.19,5716,3353,611,150,139,221
30.2,10039,6027,1010,109,290,278
30.21,5085,2832,457,60,138,269
30.22,8108,4990,850,219,180,169
31.02,8587,4567,814,833,158,131
31.05,10249,6325,1163,218,244,220
31.06,5801,3194,686,385,150,64
31.08,5466,3231,780,177,87,56
31.09,1796,1290,64,43,0,16
31.1,7443,4439,805,324,126,68
31.11,5381,3144,527,280,79,94
32.01,6049,3636,592,412,103,32
32.03,4156,2731,360,168,72,86
32.04,7873,4433,831,289,180,166
33.01,1199,610,114,6,42,21
33.02,5391,2853,542,232,89,82
34.01,2576,1109,158,132,47,73
34.02,8726,4645,695,273,192,245
35,5650,2672,403,189,104,175
36,11551,5694,1245,866,162,143
37.01,1378,608,64,40,14,33
37.02,1920,858,214,197,21,10
38.02,11640,5765,1678,926,168,123
38.05,1876,956,180,85,18,43
38.07,10139,5177,1294,1106,181,69
38.08,4199,2765,262,269,41,28
38.09,6573,3546,876,495,187,47
38.1,8049,4215,1182,803,146,51
38.11,6163,3220,937,494,157,47
39.02,14684,8121,2080,885,219,103
39.03,3225,1565,397,213,50,32
4.01,810,363,59,25,8,29
4.02,1802,710,185,88,8,65
40,16915,8727,2574,1107,257,240
41.01,5257,2450,588,450,83,40
41.02,5508,2351,507,505,125,127
42,14700,7878,1950,1117,229,103
43.02,17782,9830,2680,900,336,170
43.03,8215,4128,1242,542,208,50
43.04,11830,6159,1843,897,275,107
43.06,4107,2321,525,202,76,21
43.07,9540,5124,1508,561,240,52
44,11772,5916,1825,871,285,83
45,12834,5840,1637,1424,250,185
46,13344,6834,1994,1264,247,141
47,5093,2199,487,604,76,93
48,16857,8284,2436,1230,313,291
49,2968,1531,430,279,71,24
5.01,2301,923,202,164,17,32
5.02,1102,507,88,63,0,19
5.03,2073,1010,180,121,22,89
50,3774,1965,550,286,66,72
51,10425,5087,1338,837,205,124
52,6010,2853,639,615,86,46
53.01,7143,3377,838,716,110,82
53.05,14130,7050,2164,1124,240,113
53.06,7177,3469,909,554,130,170
53.07,4992,2877,732,316,72,24
53.08,1323,592,160,60,26,20
54.03,15306,7885,2174,768,343,168
54.04,18089,9384,2685,1338,458,196
54.05,8844,4326,1355,567,236,157
54.06,12840,5808,1886,956,360,285
55.08,9064,4931,1247,539,287,166
55.1,16773,8299,2557,891,341,232
55.11,3078,1396,323,107,45,32
55.12,13871,6981,2073,786,352,223
55.13,10815,5862,1559,541,340,114
55.15,4069,2317,599,66,161,80
55.16,3109,2025,452,33,101,35
55.17,7417,4397,1047,141,275,158
55.19,8591,5091,1289,219,291,105
55.2,10224,5303,1563,371,500,150
55.22,7258,3963,1049,381,204,92
55.25,7381,4123,1156,366,292,60
55.26,5362,2169,589,110,194,90
55.27,5862,3461,834,199,94,110
55.28,6652,3570,862,231,149,130
55.29,3416,1762,472,110,139,59
55.3,6562,3450,932,399,190,101
55.31,6314,3359,947,193,216,114
55.32,1150,664,103,55,4,29
55.33,997,262,42,30,11,21
55.34,2058,1353,140,58,11,14
55.35,6107,3387,922,359,157,71
55.36,10650,5383,1658,649,201,126
56.04,2537,1294,223,252,24,46
56.09,1903,1284,237,39,28,21
