name,population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,requestCount
1.01,1182,919,145,21,117,1,59,656
1.02,2749,2095,330,32,339,5,158,1119
1.03,2000,1460,426,26,130,2,87,908
1.04,1876,1393,266,31,202,0,116,1045
3.01,1239,1001,115,17,129,5,73,400
3.02,1586,1116,342,36,123,1,101,892
4.01,1886,1555,238,18,115,8,95,810
4.02,2132,1823,146,24,160,4,119,1802
5.01,2448,1487,809,29,122,8,163,2301
5.02,1585,875,463,19,244,3,105,1102
5.03,1931,1276,553,42,62,1,122,2073
6,2753,1491,1066,43,198,4,174,2600
7,2480,1755,516,37,201,9,149,3111
8,2885,1128,1664,36,113,2,135,7600
9,1853,1136,633,50,76,2,113,5732
10,3466,3063,282,47,149,5,139,6847
11,3317,2972,208,64,156,2,181,6289
12,5404,3349,1046,115,122,10,1213,10792
13,3850,2109,1371,85,154,7,385,12793
14,3594,2724,584,67,185,1,311,8333
15.04,6620,1526,3619,113,312,13,1541,17333
15.05,4325,1438,1321,148,228,4,1646,9453
15.07,4372,1066,1808,142,212,10,1548,7148
15.08,6762,2127,3140,158,355,28,1750,14713
15.09,3045,439,1961,56,129,0,700,10321
15.10,3202,554,1968,68,235,7,561,8763
16.03,3974,1972,1108,150,234,11,848,7986
16.05,1651,675,582,57,98,7,407,3090
16.06,4104,1656,1167,136,467,8,1063,8787
16.07,2629,712,1157,94,120,3,809,3320
16.08,4104,1161,1736,133,283,4,1266,9742
16.09,3202,879,1394,105,296,3,813,5499
17.01,4004,1804,1228,99,237,7,978,6172
17.02,6094,2183,1670,130,630,9,1981,10765
18.01,1299,823,395,30,50,2,96,3619
18.02,3453,2223,885,84,220,3,323,8763
19.10,5007,1125,2028,133,647,0,1540,7608
19.11,5812,2199,1973,205,554,14,1566,15513
19.14,3464,1805,1030,91,264,3,724,8742
19.16,4641,1653,1986,159,366,11,1025,9703
19.17,3775,1823,964,138,238,3,1044,3640
19.18,3690,1059,1864,75,142,1,813,5075
19.19,4467,1292,1603,98,876,4,974,8760
19.20,4883,1334,1622,134,480,6,1840,10190
19.21,2454,801,873,42,224,5,706,6328
19.22,4594,1251,2049,139,304,6,1270,10893
19.23,3756,1065,1969,73,196,12,864,6106
19.24,2878,891,880,55,484,7,998,4806
19.25,4180,979,2208,95,250,7,1143,5243
19.26,3564,1338,1835,94,93,13,565,5740
19.27,2948,868,1474,73,82,7,763,1908
20.04,5189,3490,1354,118,245,11,463,8374
20.05,2568,1987,355,17,200,6,159,2761
20.06,3998,3609,265,55,178,2,180,9720
20.07,2578,1718,716,80,69,2,201,6699
20.08,3143,2783,213,31,129,2,189,9136
21,2764,1859,714,54,129,4,232,6736
22.01,2718,2327,256,40,121,2,168,4902
22.02,3184,2811,225,20,144,7,131,5057
23,2937,456,2306,47,85,2,212,7451
24,3100,2677,310,51,138,9,118,4909
25,2498,2056,309,38,132,0,127,4008
26,1521,962,467,22,99,1,78,2559
27.01,2307,2150,108,22,65,3,75,3690
27.02,6123,5686,233,74,194,5,166,10142
28,3901,3812,31,43,80,2,102,6942
29.03,4711,4097,383,50,231,3,252,5697
29.05,3784,3486,131,42,204,0,125,5580
29.07,3509,2769,359,60,342,3,209,5210
29.08,3813,3379,294,42,183,5,126,7875
29.09,1570,1447,89,12,48,1,85,2295
29.10,3452,3092,227,69,172,1,141,5706
30.06,4490,3857,302,55,318,4,244,8543
30.08,5742,4470,749,100,249,7,650,12285
30.12,4419,3395,558,67,226,14,509,6932
30.13,5841,5073,442,73,371,3,280,12691
30.15,4691,4213,244,64,258,4,286,11659
30.16,5117,3649,542,58,839,1,409,6130
30.17,3808,3322,283,49,225,2,195,9528
30.18,2743,2187,242,50,322,3,170,5914
30.19,2482,2161,199,41,109,3,169,5716
30.20,4648,4435,111,23,173,2,137,10039
30.21,2614,2247,139,24,254,3,100,5085
30.22,3822,3572,104,39,178,8,129,8108
31.02,4455,3044,683,99,192,3,945,8587
31.05,3733,3342,230,44,124,8,230,10249
31.06,4069,2737,466,114,272,2,1040,5801
31.08,3228,1506,876,101,127,1,1038,5466
31.09,4076,1230,1392,107,183,6,1780,1796
31.10,2141,1896,103,45,92,3,178,7443
31.11,3251,2701,322,50,175,2,266,5381
32.01,2430,1570,358,84,61,6,561,6049
32.03,2888,1931,680,68,133,4,373,4156
32.04,3512,3060,294,43,165,6,131,7873
33.01,1808,1523,164,25,88,2,131,1199
33.02,2581,2167,284,45,125,3,140,5391
34.01,2168,1953,89,21,157,4,105,2576
34.02,4111,3868,110,37,198,6,159,8726
35,2901,2683,128,39,131,0,97,5650
36,3777,1952,1598,68,130,5,268,11551
37.01,1978,1527,383,19,84,0,80,1378
37.02,2280,978,1186,30,55,2,149,1920
38.02,3615,453,2786,84,37,8,417,11640
38.05,3228,1426,809,44,829,3,340,1876
38.07,4569,1149,1934,228,96,12,1815,10139
38.08,5562,1543,1271,307,105,25,3272,4199
38.09,3362,907,1536,60,306,6,884,6573
38.10,4100,1132,1084,161,792,6,1305,8049
38.11,2793,886,989,66,321,7,785,6163
39.02,4850,473,3923,110,231,2,362,14684
39.03,2411,216,1833,44,38,2,377,3225
40,4546,834,3058,67,245,4,594,16915
41.01,2061,1116,850,53,72,6,172,5257
41.02,2858,1608,1141,29,106,11,143,5508
